Dream_Description,Interpretation
Dream of seeing Apus,Represents a heavenly bird.
Dream of seeing Ara,Indicates flying.
Dream of seeing Arcturus,Represents unlawful earnings or actions.
Dream of seeing Argo,Means traveling by sea.
Dream of seeing Auriga,Represents fortune and blessings.
Dream of seeing Corvus,Indicates fortune and blessings.
Dream of seeing Bootis,Represents a shepherd or servitude.
Dream of seeing Castor,Indicates advancement.
Dream of seeing Cepheus,Represents a ruler.
Dream of seeing Corona Australis,Signifies marriage.
Dream of seeing Corona Borealis,Indicates forgiveness and safety.
Dream of seeing Cygnus,Represents a swan.
Dream of seeing Grus,Signifies departure.
Dream of seeing Libra,Represents adultery.
Dream of seeing the Celestial Equator,Signifies happiness.
"Dream of seeing the Little Bear, the Great Bear, Aquila, Orion, Spica, Arietica or Aquarius","Represents befriending someone or marriage to a woman with that name or zodiac sign, or it could mean begetting a son."
Dream of seeing the Celestial Pole,Represents a devout worshiper or a high-ranking commander.
Dream of seeing Pollux,Indicates delays.
Dream of seeing Ursa Major or Ursa Minor,"Represents pursuit, following, signs of guidance, or tracks of moving around."
Dream of seeing Triangulum,Indicates conditions.
Dream of seeing Vela,Signifies confrontation.
Dream of seeing Virgo,Represents a contraceptive.
Dream of seeing Vulpicula,Indicates screaming.
Dream of constipation,"Represents miserliness, stinginess, and avarice."
Dream of seeing a construction worker,"Represents both poverty or richness, or denotes travels, uncertainty about a profession, or someone who patiently carries others' burdens, fabricates stories, or stirs up conflicts for a price."
Dream of a construction worker demolishing a wall or house,Indicates enmity between friends that could bring about death.
Dream of seeing a container,"Represents a bag, pouch, sack, suitcase, or trunk."
Dream of continuity in dwellings or status,Means a lasting job or increase in devotion if glorifying God.
Dream of invoking God's attributes at a cemetery or ruin,Signifies stress from affiliation with such monuments.
Dream of a contraceptive device,Represents birth control.
Dream of a contract,"Represents a necklace of pearls, a marriage contract, or a business agreement, and may signify a covenant or bond with the other party."
Dream of cosmetics,"Represents adornment, money, or children, and may indicate committing adultery if red makeup is used."
Dream of eating cottage cheese,Means good and dear money and other pleasures.
Dream of a cotton ginner,"Represents a man of knowledge, a judge, a money mintsman, or a man with many wives and children."
Dream of owning a cotton plantation,Signifies having money and trouble.
Dream of cotton,Represents money but less than wool; carding cotton means scrutinizing sins.
Dream of a couch,"Represents one's wife, midwife, or high-ranking position; made of wood indicates respectability, while an upholstered fabric couch signifies honor and affection."
Dream of coughing,"Represents complaining, reporting someone, or severe coughing means death."
Dream of counting,"Represents various outcomes based on the numbers counted, such as victory, distress, or completing a project."
Dream of courage,"Represents perseverance, strong will, and devotion to God."
Dream of a courier,Represents a dromedary rider or mailman.
Dream of courting,Represents divulging people's secrets.
Dream of a craftsman,Represents profits.
Dream of a crane,"Represents a poor, weak person or a distant journey, and may signify undertaking or managing a business."
Dream of a cradle,"Represents blessings, grace, profits, or could indicate sorrow or a small dwelling."
Dream of a craftsman,Represents profits.
Dream of a crescent,"Indicates begetting a blessed son, receiving an important appointment, or profits from business."
Croak (Frog),Hearing the croaking sound of a frog in a dream means death.
Crocodile,"A crocodile in a dream represents a policeman, thief, or untrustworthy person. Seeing a crocodile in water suggests danger, while seeing it on land implies weakness. If the crocodile pulls someone into water, it indicates a threat from an authority. Eating or dragging a crocodile out of water suggests triumph over an enemy."
Crop,"Planting crops indicates pregnancy for a wife, disputes if plowing someone else's land, and famine if consumed by fire. Walking through green fields signifies striving for good deeds. For a businessman, it means increased profits. A green crop means longevity; a dried crop signifies the end of life. Planting wheat means charity; barley indicates spiritual awakening."
Crosier,(See Scepter)
Cross,"A cross represents a high-ranking or religious person. It can also symbolize marriage, adultery, or death. Carrying a cross could mean marriage or a difficult one, while seeing a cross might denote distress, temptation, or false testimony."
Crow,"A crow signifies adultery, concealment of evil, or being stingy and proud. Hunting crows means earning unlawfully. A crow on one's house suggests a wife's secret affair. If a crow speaks, it may indicate a corrupt son or suffering from depression. Seeing a crow digging earth implies crime. A hooded crow means longevity or wonderment. A piebald crow indicates affliction to one's son."
Crowd,"Seeing a crowd means increased power, fame, or business growth. For a preacher, it indicates a growing number of followers."
Crown of a king,"Wearing a crown means increased wealth and children. For a woman, it indicates marriage to a foreigner. For a man, it means overcoming false allegations. If a merchant or ruler wears a crown, it could imply business loss or failure in religious commitment."
Crown,"For a Muslim, a crown represents the Qur'an, knowledge, or marriage to a wealthy person. Wearing a crown signifies begetting a son, moving to a new city, or forcing an enemy to retreat. A golden crown is a bad omen for some, while a crown studded with gems is better."
Crucifixion,"Crucifixion in a dream signifies exaltation or high rank. If one dies from crucifixion, it means loss of faith. If not, it indicates ruling with justice. Crucifixion after death means attaining worldly status but being morally corrupt."
